City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Dikson,RU,2022-01-22 16:33:07,73.5069,80.5464,2.26,99,98,2.82
163,Houma,US,2022-01-22 16:36:25,29.5958,-90.7195,39.99,68,0,14.97
164,Taldan,RU,2022-01-22 16:36:25,53.6667,124.8,-10.73,97,8,3.91
165,Dingle,PH,2022-01-22 16:36:26,10.9995,122.6711,73.83,92,78,6.64
166,Ambulu,ID,2022-01-22 16:36:26,-8.345,113.6058,76.42,91,100,1.9
167,Saldanha,ZA,2022-01-22 16:36:27,-33.0117,17.9442,95.05,58,28,11.43
168,Puerto Escondido,MX,2022-01-22 16:36:27,15.85,-97.0667,83.23,69,0,6.91
169,Adrar,MR,2022-01-22 16:36:28,20.5022,-10.0711,79.72,11,98,15.7
170,Guanica,PR,2022-01-22 16:36:28,17.9716,-66.908,84.51,65,5,8.01
171,Longyearbyen,SJ,2022-01-22 16:36:28,78.2186,15.6401,31.84,69,75,19.57
172,Agropoli,IT,2022-01-22 16:36:29,40.3469,14.9966,50.27,58,0,4.09
173,Kidal,ML,2022-01-22 16:36:29,18.4411,1.4078,75.81,10,39,10.94
174,Chicama,PE,2022-01-22 16:36:29,-7.8447,-79.1469,64.94,58,19,10.25
175,Whitehorse,CA,2022-01-22 16:36:30,60.7161,-135.0538,38.17,70,40,21.85
176,Ondjiva,AO,2022-01-22 16:36:30,-17.0667,15.7333,78.96,47,100,7.94
177,Esperance,AU,2022-01-22 16:36:31,-33.8667,121.9,64.24,93,21,8.41
178,Vanimo,PG,2022-01-22 16:36:31,-2.6741,141.3028,78.01,89,87,5.17
179,Saint George,US,2022-01-22 16:36:31,37.1041,-113.5841,48.67,49,0,1.01
180,Iqaluit,CA,2022-01-22 16:36:32,63.7506,-68.5145,6.53,78,75,18.41
181,Saskylakh,RU,2022-01-22 16:36:32,71.9167,114.0833,4.53,97,96,5.3
182,Sampit,ID,2022-01-22 16:37:33,-2.5333,112.95,74.77,95,43,3.6
183,Tuktoyaktuk,CA,2022-01-22 16:37:33,69.4541,-133.0374,-16.6,76,40,16.11
184,Cherskiy,RU,2022-01-22 16:37:33,68.75,161.3,-51.14,100,100,5.82
185,Wahiawa,US,2022-01-22 16:37:34,21.5028,-158.0236,69.48,85,38,5.17
186,Bambous Virieux,MU,2022-01-22 16:37:34,-20.3428,57.7575,82.22,89,40,11.5
187,Yazman,PK,2022-01-22 16:37:35,29.1212,71.7446,52.79,72,29,10.47
188,Bella Vista,US,2022-01-22 16:37:35,36.4295,-94.2316,36.05,49,0,1.01
189,Lascahobas,HT,2022-01-22 16:37:35,18.8294,-71.9364,83.84,38,0,1.52
190,Iskele,TR,2022-01-22 16:37:36,39.484,26.9278,41.02,69,40,9.22
191,Uruzgan,AF,2022-01-22 16:37:36,32.8333,66.0,30.16,59,5,4.88
192,Tessaoua,NE,2022-01-22 16:37:37,13.7574,7.9874,75.33,10,26,8.79
193,Sinnamary,GF,2022-01-22 16:37:37,5.3833,-52.95,80.53,76,90,6.17
194,Port Arthur,CN,2022-01-22 16:37:37,38.8,121.2667,25.02,80,82,15.52
195,Pandan,PH,2022-01-22 16:37:38,14.0453,124.1694,76.59,85,95,13.09
196,New Norfolk,AU,2022-01-22 16:37:38,-42.7826,147.0587,61.92,69,99,2.3
197,Harrison,US,2022-01-22 16:37:38,30.4091,-89.0436,41.02,60,0,8.7
198,Ballina,AU,2022-01-22 16:37:39,-28.8667,153.5667,71.56,83,75,10.36
199,Camopi,GF,2022-01-22 16:37:39,3.1655,-52.3158,80.83,82,87,3.94
200,Korla,CN,2022-01-22 16:37:40,41.7597,86.1469,26.06,66,74,6.42
201,Denpasar,ID,2022-01-22 16:36:54,-8.65,115.2167,82.06,83,75,9.22
202,Husavik,IS,2022-01-22 16:37:40,66.0449,-17.3389,35.51,67,95,35.54
203,Marawi,PH,2022-01-22 16:37:41,7.9986,124.2928,65.64,96,100,0.63
204,Lavrentiya,RU,2022-01-22 16:37:41,65.5833,-171.0,6.4,96,100,11.72
205,Petropavlovsk-Kamchatskiy,RU,2022-01-22 16:37:42,53.0452,158.6483,14.59,79,75,6.71
206,Ban Tak,TH,2022-01-22 16:37:42,17.0432,99.0813,69.42,78,12,4.85
207,Sisimiut,GL,2022-01-22 16:37:42,66.9395,-53.6735,6.53,94,100,13.49
208,College,US,2022-01-22 16:37:43,64.8569,-147.8028,17.29,77,75,0.0
