City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Sao Borja,BR,82.94,scattered clouds,-28.6606,-56.0044,Hotel Executivo
386,Byron Bay,AU,78.75,broken clouds,-28.65,153.6167,Backpackers Inn
393,Pyapon,MM,83.32,few clouds,16.2833,95.6833,Aung Naing Thu Motel
400,Cap Malheureux,MU,84.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
403,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
406,Cartagena,CO,78.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
407,Salinopolis,BR,77.52,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
411,Hue,VN,78.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
412,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
413,Nan,TH,75.22,few clouds,18.8333,100.6667,สะเนียน2
430,Wahiawa,US,75.52,clear sky,21.5028,-158.0236,Aloha Wahiawa
434,Mitsamiouli,KM,79.09,thunderstorm with rain,-11.3847,43.2844,Foyer ADM
437,Marawi,PH,72.64,broken clouds,7.9986,124.2928,Derogongan Residence
440,Lalmohan,BD,72.79,clear sky,22.3384,90.7419,Sundorbon courier service
442,Limpapa,PH,81.73,scattered clouds,7.1197,121.9106,The Ranch ZC
443,Lethem,GY,76.32,overcast clouds,3.3803,-59.7968,Savannah Inn
445,Marechal Candido Rondon,BR,77.25,scattered clouds,-24.5561,-54.0567,Hotel Bender
449,Faanui,PF,81.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
450,Manicore,BR,72.79,very heavy rain,-5.8092,-61.3003,Hotel Durval
452,Lujan,AR,71.35,light rain,-34.5703,-59.105,Hotel Biarritz
455,Lorengau,PG,83.97,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
457,Pundaguitan,PH,80.58,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
458,Kumphawapi,TH,79.72,broken clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
460,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
467,La Asuncion,VE,76.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
468,Marsh Harbour,BS,71.69,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
470,Poum,NC,79.93,broken clouds,-20.2333,164.0167,Gîte kajeon
471,Harper,LR,75.63,clear sky,4.375,-7.7169,Screensaver
476,Kulhudhuffushi,MV,80.42,overcast clouds,6.6221,73.07,Haajy Guest House 1
478,Tumaco,CO,75.58,moderate rain,1.7986,-78.8156,Dafneruben
483,Montepuez,MZ,70.3,overcast clouds,-13.1256,38.9997,PembaAparthotel
487,Acarau,BR,77.74,overcast clouds,-2.8856,-40.12,castelo pizzaria
499,Conceicao Das Alagoas,BR,71.76,few clouds,-19.9147,-48.3883,Bouganville Hotel
503,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
515,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
522,Lazaro Cardenas,MX,72.66,few clouds,17.9583,-102.2,quinta antigua
526,Winneba,GH,76.05,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
529,El Bagre,CO,73.92,overcast clouds,7.5927,-74.8086,Hotel Real
531,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,Bushido Lodge
535,Bandarbeyla,SO,76.98,broken clouds,9.4942,50.8122,JABIR HOTEL
